Model Name,next token argmax choices acc,next token argmax all acc,next token argmax choices circular acc,next token argmax all circular acc,acc,acc norm,ppl argmin acc
WizardLM/WizardLM-13B-V1.2,37.6,37.5,8.6,8.6,27.1,29.6,30.0
WizardLM/WizardLM-70B-V1.0,48.2,47.6,22.5,21.9,30.6,32.6,32.7
WizardLM/WizardLM-7B-V1.0,21.0,0.0,0.0,0.0,20.0,21.6,21.6
Xwin-LM/Xwin-LM-13B-V0.1,35.4,35.4,10.4,10.4,29.0,31.0,30.8
Xwin-LM/Xwin-LM-70B-V0.1,,,,,,,
Xwin-LM/Xwin-LM-7B-V0.1,30.9,29.5,3.1,2.9,28.1,29.9,29.5
chavinlo/alpaca-13b,27.8,27.2,3.1,2.9,26.5,28.7,28.6
chavinlo/alpaca-native,24.1,23.9,0.7,0.7,26.8,28.9,27.7
huggyllama/llama-13b,26.6,26.4,1.1,1.1,28.0,29.5,29.7
huggyllama/llama-30b,33.1,32.8,7.8,7.7,30.0,31.2,31.0
huggyllama/llama-65b,38.7,37.9,10.1,10.0,30.4,32.7,32.3
huggyllama/llama-7b,22.0,21.9,0.0,0.0,25.8,27.7,26.9
lmsys/vicuna-13b-v1.5,38.6,37.1,14.7,14.5,27.5,29.6,28.3
lmsys/vicuna-33b-v1.3,39.9,39.7,14.4,14.3,28.6,30.3,31.1
lmsys/vicuna-7b-v1.5,35.5,33.4,10.9,10.3,26.6,28.1,28.2
meta-llama/Llama-2-13b-chat-hf,35.9,35.5,9.7,9.7,26.5,29.2,28.8
meta-llama/Llama-2-13b-hf,33.9,34.0,8.0,8.0,28.0,30.3,30.1
meta-llama/Llama-2-70b-chat-hf,45.9,45.8,17.6,17.6,29.7,31.1,32.1
meta-llama/Llama-2-70b-hf,50.0,49.9,26.2,26.2,31.7,34.1,34.6
meta-llama/Llama-2-7b-chat-hf,28.3,17.3,2.9,1.8,25.9,27.1,26.6
meta-llama/Llama-2-7b-hf,24.4,22.1,0.6,0.5,26.4,29.1,28.7
mosaicml/mpt-30b,24.0,24.0,0.7,0.6,27.7,28.9,28.9
mosaicml/mpt-30b-chat,29.1,29.0,3.2,3.2,28.2,29.7,29.1
mosaicml/mpt-7b,23.5,21.8,0.0,0.0,25.7,26.9,26.9
tiiuae/falcon-40b,28.8,28.2,3.0,3.0,28.5,30.8,31.4
tiiuae/falcon-7b,22.3,20.9,0.0,0.0,25.2,27.2,26.7
