Model Name,next token argmax choices acc,next token argmax all acc,next token argmax choices circular acc,next token argmax all circular acc,acc,acc norm,ppl argmin acc
WizardLM/WizardLM-13B-V1.2,65.5,65.5,43.4,43.3,47.0,50.1,47.1
WizardLM/WizardLM-70B-V1.0,80.6,80.6,65.7,65.6,53.2,56.7,53.5
WizardLM/WizardLM-7B-V1.0,24.3,0.0,0.0,0.0,21.7,28.1,24.6
Xwin-LM/Xwin-LM-13B-V0.1,67.4,67.2,36.8,35.9,52.0,53.0,51.6
Xwin-LM/Xwin-LM-70B-V0.1,84.1,83.5,70.8,69.2,58.3,60.4,55.9
Xwin-LM/Xwin-LM-7B-V0.1,54.9,54.9,23.5,23.5,45.9,47.6,44.7
chavinlo/alpaca-13b,47.4,47.2,22.8,22.8,46.1,48.4,46.8
chavinlo/alpaca-native,48.5,48.2,17.2,17.0,44.9,46.5,45.1
huggyllama/llama-13b,52.4,51.5,21.3,20.6,46.4,47.8,47.2
huggyllama/llama-30b,69.4,69.2,48.4,48.3,52.9,52.9,50.8
huggyllama/llama-65b,74.3,74.3,52.6,52.6,52.8,55.7,52.5
huggyllama/llama-7b,38.9,38.1,1.9,2.0,41.9,44.6,41.4
lmsys/vicuna-13b-v1.5,70.0,70.0,48.0,48.1,47.8,50.7,48.8
lmsys/vicuna-33b-v1.3,71.2,71.1,49.9,49.6,50.2,51.6,50.7
lmsys/vicuna-7b-v1.5,60.4,60.6,33.9,33.9,43.3,45.7,42.1
meta-llama/Llama-2-13b-chat-hf,64.3,64.2,38.1,37.9,46.2,50.3,46.9
meta-llama/Llama-2-13b-hf,63.4,62.5,30.5,29.3,48.4,49.2,47.7
meta-llama/Llama-2-70b-chat-hf,78.2,78.1,64.2,64.2,53.0,54.4,51.1
meta-llama/Llama-2-70b-hf,81.7,81.7,67.1,67.1,54.4,57.3,53.8
meta-llama/Llama-2-7b-chat-hf,55.8,55.7,23.0,23.0,44.1,44.5,42.7
meta-llama/Llama-2-7b-hf,45.9,44.8,16.4,15.3,43.4,46.2,43.0
mosaicml/mpt-30b,51.0,50.3,22.4,21.0,46.9,49.4,49.6
mosaicml/mpt-30b-chat,66.0,65.5,43.2,42.7,50.0,51.0,50.8
mosaicml/mpt-7b,31.8,30.4,0.3,0.3,40.0,41.8,39.8
tiiuae/falcon-40b,64.2,64.2,41.7,41.6,50.3,54.5,52.6
tiiuae/falcon-7b,27.5,27.0,0.0,0.0,40.3,43.6,42.9
