Model Name,next token argmax choices acc,next token argmax all acc,next token argmax choices circular acc,next token argmax all circular acc,acc,acc norm,ppl argmin acc
WizardLM/WizardLM-13B-V1.2,81.9,81.9,67.2,67.2,78.5,74.2,69.7
WizardLM/WizardLM-70B-V1.0,92.1,92.1,83.9,83.9,81.9,77.9,73.6
WizardLM/WizardLM-7B-V1.0,23.6,0.0,0.0,0.0,25.1,26.2,23.0
Xwin-LM/Xwin-LM-13B-V0.1,80.5,80.3,60.7,60.1,81.2,78.0,73.7
Xwin-LM/Xwin-LM-70B-V0.1,93.7,93.5,87.8,86.6,84.0,81.6,76.9
Xwin-LM/Xwin-LM-7B-V0.1,69.7,69.7,41.2,41.1,76.9,74.3,68.6
chavinlo/alpaca-13b,67.2,67.0,41.3,40.9,76.4,71.7,68.0
chavinlo/alpaca-native,67.7,67.2,36.2,35.6,74.8,70.6,66.9
huggyllama/llama-13b,67.6,66.7,36.7,35.4,77.4,74.8,69.2
huggyllama/llama-30b,84.6,84.7,69.6,69.6,80.4,79.0,73.5
huggyllama/llama-65b,87.7,87.7,73.0,72.9,81.3,79.8,75.1
huggyllama/llama-7b,44.7,43.8,5.2,4.6,75.3,72.9,67.7
lmsys/vicuna-13b-v1.5,83.8,83.8,71.4,71.4,78.7,74.8,70.5
lmsys/vicuna-33b-v1.3,85.9,85.6,70.7,69.6,78.4,74.7,70.2
lmsys/vicuna-7b-v1.5,75.9,75.9,55.0,55.0,75.6,71.3,66.6
meta-llama/Llama-2-13b-chat-hf,79.9,79.9,62.0,62.0,77.5,73.7,70.5
meta-llama/Llama-2-13b-hf,77.4,76.6,53.7,52.1,79.4,77.5,71.9
meta-llama/Llama-2-70b-chat-hf,91.7,91.6,82.4,82.4,80.4,76.3,72.4
meta-llama/Llama-2-70b-hf,92.8,92.8,84.5,84.4,82.7,81.0,75.9
meta-llama/Llama-2-7b-chat-hf,70.9,70.8,44.9,44.9,74.4,69.7,66.9
meta-llama/Llama-2-7b-hf,59.0,58.2,26.8,25.8,76.3,74.6,68.9
mosaicml/mpt-30b,70.0,69.9,42.2,40.7,78.7,76.3,74.0
mosaicml/mpt-30b-chat,79.4,79.5,62.6,62.7,80.2,77.4,75.7
mosaicml/mpt-7b,36.4,35.9,0.8,0.6,74.7,70.2,69.3
tiiuae/falcon-40b,80.0,80.0,61.7,61.6,81.9,79.3,77.7
tiiuae/falcon-7b,29.2,29.0,0.0,0.0,74.7,70.8,69.9
