Model Name,next token argmax choices acc,next token argmax all acc,next token argmax choices circular acc,next token argmax all circular acc,acc,acc norm,ppl argmin acc
WizardLM/WizardLM-13B-V1.2,76.5,76.5,51.7,51.7,84.0,77.7,84.0
WizardLM/WizardLM-70B-V1.0,89.0,89.0,84.5,84.5,86.6,77.5,86.6
WizardLM/WizardLM-7B-V1.0,62.2,0.0,0.0,0.0,37.8,62.2,37.8
Xwin-LM/Xwin-LM-13B-V0.1,68.5,68.3,15.1,14.9,83.5,72.0,83.5
Xwin-LM/Xwin-LM-70B-V0.1,78.7,60.1,62.6,46.1,86.2,74.2,86.2
Xwin-LM/Xwin-LM-7B-V0.1,64.2,63.8,40.2,39.8,79.3,64.8,79.3
chavinlo/alpaca-13b,68.0,68.0,61.2,61.0,78.8,74.3,78.8
chavinlo/alpaca-native,64.2,64.1,38.8,38.7,77.5,79.4,77.5
huggyllama/llama-13b,64.3,53.1,22.5,14.2,78.0,65.6,78.0
huggyllama/llama-30b,78.5,77.2,70.8,68.6,82.7,70.2,82.7
huggyllama/llama-65b,79.9,71.4,67.4,59.1,84.8,74.6,84.8
huggyllama/llama-7b,59.9,50.9,34.1,28.0,75.0,66.6,75.0
lmsys/vicuna-13b-v1.5,82.1,82.1,62.6,62.6,85.2,80.0,85.2
lmsys/vicuna-33b-v1.3,80.2,27.9,74.0,23.0,83.9,76.1,83.9
lmsys/vicuna-7b-v1.5,67.7,67.7,54.0,54.0,80.9,68.0,80.9
meta-llama/Llama-2-13b-chat-hf,71.9,71.9,39.3,39.2,81.7,83.1,81.7
meta-llama/Llama-2-13b-hf,66.9,49.8,10.1,4.7,80.6,66.2,80.6
meta-llama/Llama-2-70b-chat-hf,75.6,75.6,57.8,57.8,86.7,82.8,86.7
meta-llama/Llama-2-70b-hf,85.0,85.0,76.5,76.5,83.7,70.9,83.7
meta-llama/Llama-2-7b-chat-hf,63.6,63.6,21.2,21.2,80.7,79.4,80.7
meta-llama/Llama-2-7b-hf,63.2,24.7,46.7,16.3,77.7,64.9,77.7
mosaicml/mpt-30b,69.1,30.6,47.9,19.8,74.1,69.2,74.1
mosaicml/mpt-30b-chat,65.6,61.6,40.1,32.0,80.1,81.6,80.1
mosaicml/mpt-7b,62.1,57.2,0.6,0.2,74.3,67.9,74.3
tiiuae/falcon-40b,67.7,67.5,22.6,22.2,82.0,71.4,82.0
tiiuae/falcon-7b,57.3,45.4,28.1,20.5,73.6,64.5,73.6
