Model Name,next token argmax choices acc,next token argmax all acc,next token argmax choices circular acc,next token argmax all circular acc,acc,acc norm,ppl argmin acc
WizardLM/WizardLM-13B-V1.2,67.0,67.0,42.4,42.4,60.0,50.3,47.8
WizardLM/WizardLM-70B-V1.0,74.4,74.4,55.3,55.3,60.4,53.9,49.8
WizardLM/WizardLM-7B-V1.0,19.2,0.0,0.0,0.0,17.9,23.4,19.1
Xwin-LM/Xwin-LM-13B-V0.1,62.2,62.2,30.2,30.1,63.6,54.1,50.1
Xwin-LM/Xwin-LM-70B-V0.1,,,,,,,
Xwin-LM/Xwin-LM-7B-V0.1,50.9,50.9,18.3,18.3,61.1,51.4,46.9
chavinlo/alpaca-13b,56.8,56.6,29.0,28.9,60.5,50.9,46.6
chavinlo/alpaca-native,54.3,54.1,21.7,21.0,57.8,51.7,47.7
huggyllama/llama-13b,54.2,54.0,21.9,21.9,59.8,51.8,45.2
huggyllama/llama-30b,65.4,65.4,40.2,40.2,61.3,54.5,48.6
huggyllama/llama-65b,64.4,64.0,38.9,37.9,63.6,55.6,50.5
huggyllama/llama-7b,33.2,31.8,0.3,0.3,58.1,50.9,45.7
lmsys/vicuna-13b-v1.5,67.0,67.1,51.6,51.6,61.6,51.4,47.7
lmsys/vicuna-33b-v1.3,69.3,69.2,46.7,46.5,60.3,50.5,46.8
lmsys/vicuna-7b-v1.5,60.5,60.7,39.2,39.1,57.5,49.8,45.8
meta-llama/Llama-2-13b-chat-hf,65.3,65.3,37.6,37.6,58.7,50.0,46.2
meta-llama/Llama-2-13b-hf,57.7,55.4,28.5,25.5,61.9,53.9,48.4
meta-llama/Llama-2-70b-chat-hf,74.9,74.9,55.2,55.2,61.0,54.7,48.5
meta-llama/Llama-2-70b-hf,69.8,69.3,46.7,45.5,64.7,55.3,50.1
meta-llama/Llama-2-7b-chat-hf,60.1,60.1,33.4,33.4,57.7,50.2,45.9
meta-llama/Llama-2-7b-hf,34.6,34.6,3.2,3.2,58.6,51.9,46.9
mosaicml/mpt-30b,40.5,40.1,10.9,10.3,61.5,55.0,51.4
mosaicml/mpt-30b-chat,64.1,64.1,39.0,38.9,64.0,54.6,52.5
mosaicml/mpt-7b,22.9,22.8,0.3,0.2,56.5,49.1,47.2
tiiuae/falcon-40b,62.9,62.8,33.5,33.4,62.5,54.9,52.2
tiiuae/falcon-7b,20.7,20.9,0.0,0.0,57.9,50.0,50.0
