Model Name,next token argmax choices acc,next token argmax all acc,next token argmax choices circular acc,next token argmax all circular acc,acc,acc norm,ppl argmin acc
WizardLM/WizardLM-13B-V1.2,66.5,66.5,44.4,44.4,61.5,79.8,79.1
WizardLM/WizardLM-70B-V1.0,70.9,70.9,46.7,46.7,64.8,82.1,81.5
WizardLM/WizardLM-7B-V1.0,24.5,0.0,0.0,0.0,25.5,26.0,25.2
Xwin-LM/Xwin-LM-13B-V0.1,56.1,56.1,22.7,22.6,62.1,80.9,79.8
Xwin-LM/Xwin-LM-70B-V0.1,,,,,,,
Xwin-LM/Xwin-LM-7B-V0.1,39.6,39.6,6.0,6.0,58.8,76.8,76.0
chavinlo/alpaca-13b,38.9,38.7,11.3,11.3,60.6,78.3,77.7
chavinlo/alpaca-native,37.3,37.2,7.7,7.7,59.1,75.6,75.3
huggyllama/llama-13b,33.1,33.1,3.2,3.2,59.9,79.1,78.1
huggyllama/llama-30b,44.3,44.4,14.7,14.8,63.3,82.6,81.2
huggyllama/llama-65b,46.2,45.8,12.7,12.7,64.5,84.1,82.9
huggyllama/llama-7b,29.1,28.9,1.1,1.1,56.9,76.2,74.8
lmsys/vicuna-13b-v1.5,61.2,61.2,32.4,32.5,59.6,77.5,76.8
lmsys/vicuna-33b-v1.3,65.1,65.1,35.1,35.2,61.9,80.4,79.6
lmsys/vicuna-7b-v1.5,55.8,55.9,30.2,30.2,56.4,73.8,73.0
meta-llama/Llama-2-13b-chat-hf,63.5,63.5,34.9,34.8,60.7,79.7,78.7
meta-llama/Llama-2-13b-hf,49.7,48.6,17.2,16.6,60.1,79.4,78.2
meta-llama/Llama-2-70b-chat-hf,75.2,75.2,55.3,55.3,63.8,82.2,81.3
meta-llama/Llama-2-70b-hf,62.4,62.1,31.1,31.0,64.8,83.8,82.7
meta-llama/Llama-2-7b-chat-hf,50.5,42.1,16.9,13.7,57.7,75.4,75.1
meta-llama/Llama-2-7b-hf,32.1,30.0,1.2,1.2,57.2,76.0,75.0
mosaicml/mpt-30b,32.8,32.8,3.3,2.9,60.4,79.9,79.3
mosaicml/mpt-30b-chat,46.9,46.9,14.9,15.2,61.5,80.1,79.7
mosaicml/mpt-7b,28.1,28.1,0.8,0.6,57.1,76.3,75.8
tiiuae/falcon-40b,48.7,48.3,16.7,16.5,64.0,82.8,82.6
tiiuae/falcon-7b,25.1,24.1,0.0,0.0,57.7,76.3,75.9
