Model Name,next token argmax choices acc,next token argmax all acc,next token argmax choices circular acc,next token argmax all circular acc,acc,acc norm,ppl argmin acc
WizardLM/WizardLM-13B-V1.2,53.4,53.4,30.2,30.2,35.6,36.1,35.9
WizardLM/WizardLM-70B-V1.0,62.7,62.6,42.1,42.0,38.2,37.2,37.6
WizardLM/WizardLM-7B-V1.0,26.9,0.0,0.0,0.0,22.9,25.6,24.2
Xwin-LM/Xwin-LM-13B-V0.1,53.9,53.9,27.2,27.1,36.6,36.5,35.9
Xwin-LM/Xwin-LM-70B-V0.1,,,,,40.8,38.7,38.6
Xwin-LM/Xwin-LM-7B-V0.1,45.5,45.5,16.1,16.1,33.8,34.3,34.1
chavinlo/alpaca-13b,39.5,37.8,14.8,13.7,38.0,37.4,38.7
chavinlo/alpaca-native,40.8,40.7,13.7,13.7,34.7,35.3,35.4
huggyllama/llama-13b,43.5,43.1,14.4,14.3,34.4,35.0,34.4
huggyllama/llama-30b,54.7,54.5,31.6,31.6,36.1,36.1,35.8
huggyllama/llama-65b,59.4,59.2,37.1,36.9,37.0,36.6,36.4
huggyllama/llama-7b,32.2,30.5,1.7,1.5,33.0,33.5,33.1
lmsys/vicuna-13b-v1.5,54.5,54.5,33.5,33.4,35.7,35.8,35.5
lmsys/vicuna-33b-v1.3,57.1,57.0,36.3,36.3,36.0,36.1,36.0
lmsys/vicuna-7b-v1.5,48.8,48.8,25.0,24.9,33.6,34.2,34.1
meta-llama/Llama-2-13b-chat-hf,53.1,53.2,28.1,28.1,35.9,36.7,36.7
meta-llama/Llama-2-13b-hf,52.1,51.8,24.6,24.1,35.3,35.8,34.9
meta-llama/Llama-2-70b-chat-hf,61.1,61.1,38.9,38.9,38.9,38.7,38.8
meta-llama/Llama-2-70b-hf,65.4,65.4,45.1,45.0,39.0,37.8,37.8
meta-llama/Llama-2-7b-chat-hf,45.3,45.0,17.9,17.8,33.7,34.8,34.7
meta-llama/Llama-2-7b-hf,41.8,39.4,12.3,12.1,33.3,34.1,33.6
mosaicml/mpt-30b,45.1,44.8,19.3,19.0,33.2,33.5,34.0
mosaicml/mpt-30b-chat,50.1,50.0,28.9,28.9,34.7,35.2,35.9
mosaicml/mpt-7b,29.5,29.6,0.5,0.4,34.1,35.1,35.6
tiiuae/falcon-40b,53.6,53.3,28.2,28.0,38.0,38.0,38.7
tiiuae/falcon-7b,25.0,24.8,0.0,0.0,33.7,34.3,35.1
