Model Name,next token argmax choices acc,next token argmax all acc,next token argmax choices circular acc,next token argmax all circular acc,acc,acc norm,ppl argmin acc
WizardLM/WizardLM-13B-V1.2,75.7,75.7,56.4,56.4,79.0,79.4,79.7
WizardLM/WizardLM-70B-V1.0,82.4,82.2,70.3,70.0,81.1,80.7,81.0
WizardLM/WizardLM-7B-V1.0,50.5,0.0,0.0,0.0,54.4,49.8,51.5
Xwin-LM/Xwin-LM-13B-V0.1,69.2,68.8,41.9,41.6,79.2,80.8,80.0
Xwin-LM/Xwin-LM-70B-V0.1,80.7,65.1,64.6,49.8,82.4,82.3,81.8
Xwin-LM/Xwin-LM-7B-V0.1,67.5,66.8,40.0,39.5,78.0,78.5,78.7
chavinlo/alpaca-13b,63.1,63.0,32.4,32.0,78.1,78.6,77.4
chavinlo/alpaca-native,64.5,64.5,35.5,35.5,77.8,78.0,77.7
huggyllama/llama-13b,64.1,63.2,32.3,32.0,79.2,80.2,79.6
huggyllama/llama-30b,73.3,73.3,52.1,52.0,81.0,82.2,81.3
huggyllama/llama-65b,66.2,66.2,33.9,33.9,81.3,82.3,82.3
huggyllama/llama-7b,53.8,53.5,10.9,10.9,78.7,79.2,78.8
lmsys/vicuna-13b-v1.5,75.3,75.3,56.4,56.4,78.9,79.2,79.1
lmsys/vicuna-33b-v1.3,73.8,70.0,53.3,50.7,79.2,79.4,79.5
lmsys/vicuna-7b-v1.5,72.2,72.2,48.3,48.3,77.3,78.0,78.3
meta-llama/Llama-2-13b-chat-hf,70.7,70.1,45.1,44.5,77.6,79.1,78.3
meta-llama/Llama-2-13b-hf,71.7,71.4,46.0,45.9,79.1,80.5,80.4
meta-llama/Llama-2-70b-chat-hf,78.0,76.9,58.9,57.4,80.6,80.8,80.7
meta-llama/Llama-2-70b-hf,76.1,76.1,56.8,56.8,82.2,82.7,82.8
meta-llama/Llama-2-7b-chat-hf,65.0,64.4,35.1,34.8,76.8,76.7,76.7
meta-llama/Llama-2-7b-hf,59.4,58.8,21.4,20.8,78.1,79.1,78.6
mosaicml/mpt-30b,64.9,64.7,39.8,39.6,80.1,81.1,81.1
mosaicml/mpt-30b-chat,65.1,62.6,34.4,33.4,79.2,81.0,80.8
mosaicml/mpt-7b,55.3,54.2,16.0,15.6,79.3,80.7,80.1
tiiuae/falcon-40b,69.7,69.5,44.6,44.4,82.3,83.1,82.9
tiiuae/falcon-7b,50.4,49.8,10.2,10.0,79.3,80.4,80.0
