,model,metric,avg
0,WizardLM/WizardLM-7B-V1.0,acc,26.96363636363636
1,WizardLM/WizardLM-7B-V1.0,acc_norm,32.127272727272725
2,WizardLM/WizardLM-7B-V1.0,ppl_argmin_acc,28.045454545454547
3,WizardLM/WizardLM-7B-V1.0,next_token_argmax_choices_acc,30.12727272727273
4,WizardLM/WizardLM-7B-V1.0,next_token_argmax_all_acc,0.0
5,WizardLM/WizardLM-7B-V1.0,next_token_argmax_choices_circular_acc,0.0
6,WizardLM/WizardLM-7B-V1.0,next_token_argmax_all_circular_acc,0.0
7,WizardLM/WizardLM-13B-V1.2,acc,56.60909090909092
8,WizardLM/WizardLM-13B-V1.2,acc_norm,58.099999999999994
9,WizardLM/WizardLM-13B-V1.2,ppl_argmin_acc,57.39090909090908
10,WizardLM/WizardLM-13B-V1.2,next_token_argmax_choices_acc,67.60909090909091
11,WizardLM/WizardLM-13B-V1.2,next_token_argmax_all_acc,67.60000000000001
12,WizardLM/WizardLM-13B-V1.2,next_token_argmax_choices_circular_acc,47.09090909090909
13,WizardLM/WizardLM-13B-V1.2,next_token_argmax_all_circular_acc,47.099999999999994
14,WizardLM/WizardLM-70B-V1.0,acc,59.18181818181818
15,WizardLM/WizardLM-70B-V1.0,acc_norm,60.33636363636363
16,WizardLM/WizardLM-70B-V1.0,ppl_argmin_acc,59.77272727272726
17,WizardLM/WizardLM-70B-V1.0,next_token_argmax_choices_acc,76.71818181818183
18,WizardLM/WizardLM-70B-V1.0,next_token_argmax_all_acc,76.63636363636364
19,WizardLM/WizardLM-70B-V1.0,next_token_argmax_choices_circular_acc,61.70909090909092
20,WizardLM/WizardLM-70B-V1.0,next_token_argmax_all_circular_acc,61.599999999999994
21,Xwin-LM/Xwin-LM-7B-V0.1,acc,55.027272727272724
22,Xwin-LM/Xwin-LM-7B-V0.1,acc_norm,55.90909090909091
23,Xwin-LM/Xwin-LM-7B-V0.1,ppl_argmin_acc,55.318181818181806
24,Xwin-LM/Xwin-LM-7B-V0.1,next_token_argmax_choices_acc,55.04545454545455
25,Xwin-LM/Xwin-LM-7B-V0.1,next_token_argmax_all_acc,54.790909090909096
26,Xwin-LM/Xwin-LM-7B-V0.1,next_token_argmax_choices_circular_acc,25.209090909090914
27,Xwin-LM/Xwin-LM-7B-V0.1,next_token_argmax_all_circular_acc,25.045454545454547
28,Xwin-LM/Xwin-LM-13B-V0.1,acc,57.25454545454545
29,Xwin-LM/Xwin-LM-13B-V0.1,acc_norm,58.58181818181818
30,Xwin-LM/Xwin-LM-13B-V0.1,ppl_argmin_acc,58.08181818181818
31,Xwin-LM/Xwin-LM-13B-V0.1,next_token_argmax_choices_acc,64.03636363636365
32,Xwin-LM/Xwin-LM-13B-V0.1,next_token_argmax_all_acc,63.936363636363645
33,Xwin-LM/Xwin-LM-13B-V0.1,next_token_argmax_choices_circular_acc,34.918181818181814
34,Xwin-LM/Xwin-LM-13B-V0.1,next_token_argmax_all_circular_acc,34.663636363636364
35,chavinlo/alpaca-native,acc,54.4090909090909
36,chavinlo/alpaca-native,acc_norm,56.50909090909091
37,chavinlo/alpaca-native,ppl_argmin_acc,55.08181818181818
38,chavinlo/alpaca-native,next_token_argmax_choices_acc,52.690909090909095
39,chavinlo/alpaca-native,next_token_argmax_all_acc,52.5
40,chavinlo/alpaca-native,next_token_argmax_choices_circular_acc,24.35454545454546
41,chavinlo/alpaca-native,next_token_argmax_all_circular_acc,24.05454545454545
42,chavinlo/alpaca-13b,acc,55.51818181818181
43,chavinlo/alpaca-13b,acc_norm,56.83636363636363
44,chavinlo/alpaca-13b,ppl_argmin_acc,55.93636363636363
45,chavinlo/alpaca-13b,next_token_argmax_choices_acc,53.95454545454545
46,chavinlo/alpaca-13b,next_token_argmax_all_acc,53.5909090909091
47,chavinlo/alpaca-13b,next_token_argmax_choices_circular_acc,30.34545454545454
48,chavinlo/alpaca-13b,next_token_argmax_all_circular_acc,30.0
49,huggyllama/llama-7b,acc,52.781818181818174
50,huggyllama/llama-7b,acc_norm,54.654545454545456
51,huggyllama/llama-7b,ppl_argmin_acc,53.62727272727273
52,huggyllama/llama-7b,next_token_argmax_choices_acc,40.4
53,huggyllama/llama-7b,next_token_argmax_all_acc,38.7
54,huggyllama/llama-7b,next_token_argmax_choices_circular_acc,7.990909090909091
55,huggyllama/llama-7b,next_token_argmax_all_circular_acc,7.236363636363635
56,huggyllama/llama-13b,acc,54.64545454545455
57,huggyllama/llama-13b,acc_norm,56.08181818181818
58,huggyllama/llama-13b,ppl_argmin_acc,55.31818181818182
59,huggyllama/llama-13b,next_token_argmax_choices_acc,52.57272727272728
60,huggyllama/llama-13b,next_token_argmax_all_acc,50.16363636363636
61,huggyllama/llama-13b,next_token_argmax_choices_circular_acc,20.05454545454546
62,huggyllama/llama-13b,next_token_argmax_all_circular_acc,18.28181818181818
63,huggyllama/llama-30b,acc,57.0
64,huggyllama/llama-30b,acc_norm,58.7
65,huggyllama/llama-30b,ppl_argmin_acc,57.845454545454544
66,huggyllama/llama-30b,next_token_argmax_choices_acc,65.56363636363636
67,huggyllama/llama-30b,next_token_argmax_all_acc,65.37272727272727
68,huggyllama/llama-30b,next_token_argmax_choices_circular_acc,45.27272727272727
69,huggyllama/llama-30b,next_token_argmax_all_circular_acc,45.02727272727273
70,huggyllama/llama-65b,acc,58.31818181818182
71,huggyllama/llama-65b,acc_norm,60.14545454545455
72,huggyllama/llama-65b,ppl_argmin_acc,59.41818181818182
73,huggyllama/llama-65b,next_token_argmax_choices_acc,67.5
74,huggyllama/llama-65b,next_token_argmax_all_acc,66.10000000000001
75,huggyllama/llama-65b,next_token_argmax_choices_circular_acc,45.190909090909095
76,huggyllama/llama-65b,next_token_argmax_all_circular_acc,43.93636363636363
77,lmsys/vicuna-7b-v1.5,acc,53.800000000000004
78,lmsys/vicuna-7b-v1.5,acc_norm,54.654545454545456
79,lmsys/vicuna-7b-v1.5,ppl_argmin_acc,54.26363636363636
80,lmsys/vicuna-7b-v1.5,next_token_argmax_choices_acc,62.58181818181818
81,lmsys/vicuna-7b-v1.5,next_token_argmax_all_acc,62.45454545454545
82,lmsys/vicuna-7b-v1.5,next_token_argmax_choices_circular_acc,41.08181818181818
83,lmsys/vicuna-7b-v1.5,next_token_argmax_all_circular_acc,41.00909090909091
84,lmsys/vicuna-13b-v1.5,acc,56.345454545454544
85,lmsys/vicuna-13b-v1.5,acc_norm,57.59090909090908
